Semana,Día,Ejercicio #,Ejercicio,Descripción
Semana 1,Día 1,1,Inclinación Pélvica Posterior en la Pared,Desarrollar la conciencia de la inclinación pélvica y el control lumbar.
Semana 1,Día 1,2,Respiración Ventral con Gancho,Mejorar el control de la respiración y la función diafragmática.
Semana 1,Día 1,3,Balanceo Pélvico Sentado,Aumentar la movilidad y la coordinación pélvicas.
Semana 1,Día 1,4,Alcance Supino 90-90,Mejore la estabilidad central y mantenga la alineación costilla-pelvis.
Semana 1,Día 1,5,Press de Pared para Isquiotibiales,Active los isquiotibiales para estabilizar la pelvis y el tronco.
Semana 1,Día 2,1,Expansión Costal Lateral,Mejorar la expansión lateral de la caja torácica y la mecánica respiratoria.
Semana 1,Día 2,2,Rotación Torácica Sentado,Aumentar la movilidad torácica y el control rotacional.
Semana 1,Día 2,3,Bisagra de Cadera de Pie con Alcance de Pared,Desarrollar la conciencia y el control de la bisagra de la cadera.
Semana 1,Día 2,4,Rock Back Cuadrúpedo con Columna Neutra,Fomentar el control pélvico con la columna vertebral neutra.
Semana 1,Día 2,5,Sentadilla en Pared,Aumenta la confianza en la posición en cuclillas con apoyo en la pared.
Semana 1,Día 3,1,Restablecimiento de la Respiración en Decúbito Lateral,Fomenta el restablecimiento de la caja torácica y el diafragma mediante la respiración concentrada.
Semana 1,Día 3,2,Alcanzar y Rodar Rítmicamente,Mejorar el control rotacional y la coordinación.
Semana 1,Día 3,3,Patrones de Respiración Asistida,Refuerza el control de la respiración y la conciencia de las costillas.
Semana 1,Día 3,4,Balanceo Relajado de la Columna Vertebral,Favorecer el movimiento fluido de la pelvis y la columna vertebral.
Semana 1,Día 3,5,Suave Balanceo Bilateral,Mejorar la movilidad pélvica y la relajación.
Semana 1,Día 4,1,Reposición Supina del Diafragma,Establecer un control diafragmático y una relajación más profundos.
Semana 1,Día 4,2,Balanceo Pélvico Posterior Sentado,Mejorar la conciencia de la posición pélvica.
Semana 1,Día 4,3,Extensión Torácica Sentado,Fortalecer la extensión torácica y la posición de las costillas.
Semana 1,Día 4,4,Cambio de Cadera en Decúbito Supino con Respiración,Desarrollar el control de los desplazamientos pélvicos y la integración del tronco.
Semana 1,Día 4,5,Respiración Sentada con Control de Costillas,Mantenga el control de la caja torácica y la pelvis con una respiración constante.
Semana 1,Día 5,1,Respiración Diafragmática en Posición de Cocodrilo,Fomente la expansión completa de la respiración en 3D.
Semana 1,Día 5,2,Gato-vaca con Concentración en la Respiración,Desarrollar la conciencia de flexión y extensión de la columna vertebral.
Semana 1,Día 5,3,Torsión de Columna Sentado con Respiración,Mejorar la rotación torácica con una respiración controlada.
Semana 1,Día 5,4,Marcha Supina con Control de Costillas,Refuerce la estabilidad pélvica y costal con el movimiento de las piernas.
Semana 1,Día 5,5,Respiración Sentada y Conciencia Pélvica,Aumentar la conciencia de la respiración y la posición pélvica.
Semana 2,Día 1,1,Expansión Costal Supina con Respiración,Aumentar la conciencia de la caja torácica y el control diafragmático.
Semana 2,Día 1,2,Cambios de Cadera con Gancho,Desarrollar el control y la conciencia de los patrones de desplazamiento de la cadera.
Semana 2,Día 1,3,Ir de Cadera Tumbado de Lado con Respiración,Mejorar la rotación interna de la cadera y la coordinación de la respiración.
Semana 2,Día 1,4,Bajada de Piernas 90-90 Supina,Refuerce la estabilidad central y la alineación costilla-pelvis.
Semana 2,Día 1,5,Prensa de Talón Apoyada en la Pared,Active los isquiotibiales para estabilizar la pelvis y reforzar el control.
Semana 2,Día 2,1,Alcance Cuadrúpedo con Control de Costillas,Desarrollar la rotación torácica con un control estable de la caja torácica.
Semana 2,Día 2,2,Bisagra de Cadera Sentada con Respiración,Mejorar el patrón de articulación y mantener el control del núcleo.
Semana 2,Día 2,3,Desplazamiento Posterior del Peso de Pie,Desarrollar el desplazamiento posterior del peso para un control equilibrado de la cadera.
Semana 2,Día 2,4,Marcha de Isquiotibiales de Pared,Reforzar la activación de la cadena posterior y el control pélvico.
Semana 2,Día 2,5,Ejercicio de Ir y Extensión de Cadera en Decúbito Prono,Tomar conciencia de la rotación y extensión de la cadera.
Semana 2,Día 3,1,Relojes Pélvicos Hooklying,Desarrollar una conciencia y un control sutiles de la inclinación pélvica.
Semana 2,Día 3,2,Reposición Supina del Diafragma con Alcance,Perfecciona el control de la respiración con un alcance activo de la parte superior del cuerpo.
Semana 2,Día 3,3,Rotación de la Columna Sentado con Respiración,Aumentar la rotación torácica controlando la respiración.
Semana 2,Día 3,4,Abducción Lateral de Cadera con Apoyo,Mejorar la fuerza lateral de la cadera y la estabilidad pélvica.
Semana 2,Día 3,5,Sentadilla Profunda Apoyada en la Pared,Aumenta la confianza en la posición de sentadilla profunda manteniendo el control.
Semana 2,Día 4,1,Desplazamiento de Costillas en Decúbito Supino con Respiración,Mejorar la conciencia de la caja torácica y el control de la respiración asimétrica.
Semana 2,Día 4,2,Balanceo Pélvico Posterior Sentado,Mantener la conciencia pélvica y mejorar el ritmo pélvico.
Semana 2,Día 4,3,Flexión/extensión Torácica Sentado,Desarrollar la conciencia de la flexión y extensión de la columna vertebral.
Semana 2,Día 4,4,Movimientos de Cadera en Decúbito Supino con Estabilidad Costal,Desarrolla la estabilidad del tronco y la cadera mediante patrones de cambio.
Semana 2,Día 4,5,Respiración Sentada con Conciencia Pélvica,Reforzar la respiración y el control de la posición pélvica.
Semana 2,Día 5,1,Respiración de Cocodrilo con Expansión Costal,Refuerce la expansión diafragmática completa de la respiración.
Semana 2,Día 5,2,Gato-vaca con Enfoque Rotacional,Mejorar la flexión/extensión de la columna vertebral e incorporar la rotación.
Semana 2,Día 5,3,Torsión de Columna Sentado con Extensión de Brazos,Aumentar el control rotacional y la movilidad escapular.
Semana 2,Día 5,4,Marcha Supina con Control Pélvico,Refuerza la coordinación costilla-pelvis y el control del tronco.
Semana 2,Día 5,5,Respiración Sentada con Cambios de Cadera,Aumentar la conciencia de los desplazamientos pélvicos manteniendo el control de la respiración.
Semana 3,Día 1,1,Respiración con Gancho y Conciencia Pélvica,Mejorar el control de la respiración y tomar conciencia de los movimientos pélvicos.
Semana 3,Día 1,2,Desplazamiento de Cadera Sentado con Estabilidad Costal,Desarrollar el control del desplazamiento de la cadera con un movimiento mínimo de la caja torácica.
Semana 3,Día 1,3,Reposición Supina del Diafragma con Alcance,Reforzar el control de la caja torácica durante los ciclos respiratorios.
Semana 3,Día 1,4,Rock Back Cuadrúpedo con Concentración en la Respiración,Mejore la movilidad pélvica y mantenga la estabilidad central.
Semana 3,Día 1,5,Bisagra de Pared con Brazo Extensible,Desarrolla la activación de la cadena posterior mientras mantienes el control de las costillas.
Semana 3,Día 2,1,Expansión de Costillas Sentado con Control de la Respiración,Favorece la movilidad de la caja torácica y la expansión lateral de la respiración.
Semana 3,Día 2,2,Marcha Supina con Control del Tronco,Reforzar la estabilidad pélvica mientras se mueven las piernas.
Semana 3,Día 2,3,Rotación Torácica Sentado con Extensión de Brazos,Desarrollar el control rotacional y la movilidad.
Semana 3,Día 2,4,Marcha de Isquiotibiales en Pared con Control de Costillas,Activar la cadena posterior manteniendo la estabilidad costal.
Semana 3,Día 2,5,Ejercicio de Ir y Extensión de Cadera en Decúbito Prono,Tomar conciencia de la rotación y extensión de la cadera.
Semana 3,Día 3,1,Gato-vaca con Conciencia de la Respiración,Desarrollar el control de la flexión y extensión de la columna vertebral.
Semana 3,Día 3,2,Balanceo Pélvico Posterior Sentado,Aumentar el control pélvico y mejorar la conciencia del movimiento.
Semana 3,Día 3,3,Cambio de Costillas 90-90 Supino con Respiración,Desarrolla la estabilidad del tronco y mejora los movimientos guiados por la respiración.
Semana 3,Día 3,4,Sentadilla en Pared con Alcance,Aumentar la confianza en la posición en cuclillas con el movimiento de la parte superior del cuerpo.
Semana 3,Día 3,5,Torsión de Columna Supina con Respiración,Mejorar la rotación torácica con control de la respiración.
Semana 3,Día 4,1,Movimientos de Cadera en Decúbito Supino con Control de Costillas,Desarrollar el control de los desplazamientos pélvicos manteniendo la estabilidad de las costillas.
Semana 3,Día 4,2,Flexión y Extensión Torácica Sentado,Mejorar la movilidad de la columna torácica y el control postural.
Semana 3,Día 4,3,Alcance de Brazos y Piernas Cuadrúpedos con Mando,Desarrolla la estabilidad del tronco y los hombros manteniendo la columna vertebral neutra.
Semana 3,Día 4,4,Press de Pared de Isquiotibiales con Conciencia de Cadera,Reforzar la activación de los isquiotibiales y el control de la pelvis.
Semana 3,Día 4,5,Abducción Lateral de Cadera con Apoyo,Desarrollar la fuerza y la estabilidad lateral de la cadera.
Semana 3,Día 5,1,Respiración de Cocodrilo con Expansión Costal,Refuerce la expansión respiratoria de todo el cuerpo.
Semana 3,Día 5,2,Balanceo Pélvico Supino con Concentración en la Respiración,Desarrolla un movimiento pélvico suave con movimientos guiados por la respiración.
Semana 3,Día 5,3,Torsión de Columna Sentado con Extensión de Brazos,Mejorar la rotación torácica con respiración y movimiento coordinados.
Semana 3,Día 5,4,Marcha Apoyada en la Pared con Control de Costillas,Desarrolla el control de la caja torácica y la estabilidad del tronco.
Semana 3,Día 5,5,Ir de Cadera en Decúbito Lateral y Respiración,Potenciar la rotación interna de la cadera y mejorar la coordinación de la respiración.
Semana 4,Día 1,1,Desplazamiento Costal Supino con Control de la Respiración,Desarrollar el control lateral de las costillas manteniendo la estabilidad de la pelvis.
Semana 4,Día 1,2,Movimientos de Cadera Sentado con Conciencia de la Respiración,Reforzar el control pélvico y la conciencia de la cadera en posiciones sentadas.
Semana 4,Día 1,3,Expansión de Las Costillas con Marcha,Desarrolla la estabilidad del tronco y las costillas a la vez que añades movimiento dinámico.
Semana 4,Día 1,4,Bisagra de Pared con Brazo Extensible,Fortalece la cadena posterior mientras mantienes el control de la caja torácica.
Semana 4,Día 1,5,Rock Back Cuadrúpedo con Enfoque de Alcance,Mejore la movilidad pélvica controlando las costillas y tomando conciencia de la respiración.
Semana 4,Día 2,1,Flexión y Extensión Torácica Sentado,Mejorar la movilidad torácica manteniendo el control de la pelvis.
Semana 4,Día 2,2,Supino 90-90 Bajada de Piernas con Respiración,Refuerce el control del tronco mientras baja las piernas con estabilidad.
Semana 4,Día 2,3,Rotación de la Columna Sentado con Alcance de Brazos,Desarrollar el control rotacional y la movilidad torácica.
Semana 4,Día 2,4,Marcha de Isquiotibiales en Pared con Estabilidad Costal,Desarrolla el control de la cadena posterior mientras mantienes el control de las costillas.
Semana 4,Día 2,5,Ir y Extensión de Cadera en Decúbito Prono con Control,Desarrollar la conciencia de la rotación y extensión de la cadera.
Semana 4,Día 3,1,Gato-vaca con Expansión de Costillas,Desarrollar la flexión y extensión de la columna vertebral controlando la respiración.
Semana 4,Día 3,2,Balanceo Pélvico Posterior Sentado,Mejorar la conciencia del movimiento pélvico en posición sentada.
Semana 4,Día 3,3,Cambio de Costillas 90-90 Supino con Respiración,Desarrolla la coordinación de las costillas y la pelvis mientras respiras.
Semana 4,Día 3,4,Sentadilla Profunda Apoyada en la Pared con Alcance,Aumenta la estabilidad de la sentadilla con la conciencia de las costillas y la pelvis.
Semana 4,Día 3,5,Torsión de Columna Supina con Respiración,Mejorar la rotación torácica con respiración controlada.
Semana 4,Día 4,1,Movimientos de Cadera en Decúbito Supino con Conciencia de Las Costillas,Desarrollar la movilidad lateral de la cadera manteniendo la estabilidad de las costillas.
Semana 4,Día 4,2,Alcance de Brazos y Piernas Cuadrúpedos con Mando,Mejora el equilibrio y la estabilidad con movimientos controlados.
Semana 4,Día 4,3,Press de Pared de Isquiotibiales con Concentración en la Respiración,Refuerce el compromiso de los isquiotibiales y el control del tronco.
Semana 4,Día 4,4,Abducción Lateral de Cadera con Apoyo,Desarrollar la fuerza y la estabilidad lateral de la cadera.
Semana 4,Día 4,5,Torsión de Columna Sentado con Extensión de Brazos,Desarrollar la rotación y el control torácicos.
Semana 4,Día 5,1,Respiración de Cocodrilo con Expansión Costal,Refuerce la expansión respiratoria de todo el cuerpo.
Semana 4,Día 5,2,Balanceo Pélvico Supino con Concentración en la Respiración,Desarrolla un movimiento pélvico suave con movimientos guiados por la respiración.
Semana 4,Día 5,3,Conciencia Pélvica Posterior Sentado,Mejorar el control de la posición de la pelvis en posición sentada.
Semana 4,Día 5,4,Marcha Apoyada en la Pared con Estabilidad Costal,Refuerce el control del tronco y las costillas durante los movimientos dinámicos.
Semana 4,Día 5,5,Ir de Cadera en Decúbito Lateral y Respiración,Mejora la movilidad de la cadera y el control de la respiración.
Semana 5,Día 1,1,Sentadillas de Peso Corporal con Control de Costillas,Refuerza la mecánica de la sentadilla con estabilidad central.
Semana 5,Día 1,2,Postura de Caballo (paralela al Suelo),Desarrollar la fuerza isométrica y la resistencia en la parte inferior del cuerpo.
Semana 5,Día 1,3,Kickstand Rdl con Control de Cadera,Mejora la cadena posterior y la estabilidad de la cadera.
Semana 5,Día 1,4,Sentadilla Partida Apoyada en la Pared,"Fortalece los glúteos, los cuádriceps y el tronco en una postura dividida."
Semana 5,Día 1,5,Marcha Supina con Control del Tronco,Reforzar la estabilidad pélvica durante el movimiento dinámico.
Semana 5,Día 2,1,Sentadillas Escalonadas con Estabilidad Costal,Desarrollar la carga con una sola pierna y el control pélvico.
Semana 5,Día 2,2,Estocadas Laterales con Control de la Respiración,Mejorar el control lateral de la cadera y la estabilidad de las costillas.
Semana 5,Día 2,3,Abducción de Cadera en Decúbito Lateral con Concentración en la Respiración,Desarrolla la fuerza lateral de la cadera controlando la respiración.
Semana 5,Día 2,4,Puente de Glúteos a Una Pierna con Estabilidad Costal,Desarrollar la fuerza de la cadena posterior y el control de la cadera.
Semana 5,Día 2,5,Desplazamiento de Costillas en Decúbito Supino con Compromiso del Tronco,Desarrolla el control del tronco con un sutil desplazamiento de las costillas.
Semana 5,Día 3,1,Staggered Stance Rdl con Conciencia de la Cadera,Mejora la fuerza de la cadena posterior y el control de una sola pierna.
Semana 5,Día 3,2,Estocadas Hacia Delante con Control de Costillas,Desarrollar la fuerza y la estabilidad en las embestidas hacia delante.
Semana 5,Día 3,3,Press de Pared de Isquiotibiales con Estabilidad Costal,Estimula los isquiotibiales y refuerza el control del tronco.
Semana 5,Día 3,4,Puente Bilateral de Glúteos con Control de Costillas y Pelvis,Refuerza la extensión de la cadera y la estabilidad del tronco.
Semana 5,Día 3,5,Torsión de Columna Supina con Respiración,Mejorar la rotación torácica con respiración controlada.
Semana 5,Día 4,1,Flexiones de Pared con Estabilidad Costal,Introducir el prensado de la parte superior del cuerpo manteniendo el control del tronco.
Semana 5,Día 4,2,Flexiones en Silla con Estabilidad Pélvica,Progresa presionando con mayor carga mientras mantienes el control.
Semana 5,Día 4,3,Flexiones de Suelo con Control de Costillas y Pelvis,Fortalece la parte superior del cuerpo y el tronco en posición de plancha.
Semana 5,Día 4,4,Rotación de la Columna Sentado con Alcance,Desarrollar la rotación torácica y el movimiento escapular.
Semana 5,Día 4,5,Ir de Cadera en Decúbito Lateral y Respiración,Mejora la movilidad de la cadera y el control de la respiración.
Semana 5,Día 5,1,Postura del Caballo con Control de Las Costillas (sujeción Más Larga),Reforzar la resistencia isométrica de la parte inferior del cuerpo.
Semana 5,Día 5,2,Elevaciones de Pantorrilla con Control de Costillas y Pelvis,Fortalece las pantorrillas manteniendo una alineación neutra.
Semana 5,Día 5,3,Subida de Tiburón con Respiración Consciente,Desarrollar la fuerza y el equilibrio de la tibia anterior.
Semana 5,Día 5,4,Expansión de Las Costillas con Marcha,Refuerza el control del tronco y la respiración con la marcha.
Semana 5,Día 5,5,Balanceo Pélvico Supino con Control de la Respiración,Mejora la movilidad pélvica y la conciencia guiada por la respiración.
